Product ID,Product Name (Korean),Product Name (English),Part Number,Price (KRW),Price (EUR with 50% markup),Manufacturer,Category,Category (English),Image Filenames
7474,[중고] OMRON E5ZN-SDL 디지털 인디케이터 인디케이터 indicator,[Used] OMRON E5ZN-SDL digital indicator indicator indicator,E5ZN-SDL,44000,40.19,OMRON,Temperature controller/indicator,,7474_1.jpg; 7474_1.jpg; 7474_3.jpg; 7474_1.jpg; 7474_1.jpg; 7474_6.jpg; 7474_7.jpg; 7474_8.jpg; 7474_9.jpg; 7474_10.jpg; 7474_11.jpg; 7474_12.jpg; 7474_13.jpg; 7474_14.jpg; 7474_15.jpg; 7474_16.jpg; 7474_17.jpg; 7474_18.jpg; 7474_19.jpg; 7474_20.jpg; 7474_21.jpg; 7474_1.jpg; 7474_3.jpg; 7474_24.jpg; 7634_22.jpg; 7634_23.jpg; 7483_24.jpg; 8029_28.jpg; 7440_29.jpg; 7440_30.jpg; 7812_8.jpg; 7803_14.jpg; 7803_15.jpg
6012,[중고] THK (166/60mm) 볼스크류 볼나사 Ballscrew TM스크류 베어링 삼익THK 자동화부품 조각기 3D프린터 제작부품 자작 DIY,[Used] THK (166/60mm) Ball Screw Ball Screw Ballscrew TM Screw Bearing Samik THK Automation Parts Engraver 3D Printer Manufacturing Parts DIY,166/60mm,44000,40.19,THK,Ball screw/spline (SPLINE),,6012_1.jpg; 6012_1.jpg; 6012_3.jpg; 6012_1.jpg; 6012_1.jpg; 6012_6.jpg; 6012_7.jpg; 6012_8.jpg; 6012_9.jpg; 6012_10.jpg; 6012_11.jpg; 6012_12.jpg; 6012_13.jpg; 6012_14.jpg; 6012_15.jpg; 6012_16.jpg; 6012_17.jpg; 6012_18.jpg; 6012_19.jpg; 6012_20.jpg; 6012_1.jpg; 6012_3.jpg; 6012_23.jpg; 7474_24.jpg; 7634_22.jpg; 7634_23.jpg; 7483_24.jpg; 8029_28.jpg; 7440_29.jpg; 7440_30.jpg; 7812_8.jpg; 7803_14.jpg
3944,[중고] X-Axis Stage (25 x 25) SURUGA SEIKI,[Used] X-Axis Stage (25 x 25) SURUGA SEIKI,,44000,40.19,,Precision stage,,3944_1.jpg; 3944_1.jpg; 3944_3.jpg; 3944_1.jpg; 3944_5.jpg; 3944_6.jpg; 3944_7.jpg; 3944_8.jpg; 3944_9.jpg; 3944_10.jpg; 3944_11.jpg; 3944_12.jpg; 3944_13.jpg; 3944_14.jpg; 3944_1.jpg; 3944_3.jpg; 3944_17.jpg; 6012_23.jpg; 7474_24.jpg; 7634_22.jpg; 7634_23.jpg; 7483_24.jpg; 8029_28.jpg; 7440_29.jpg; 7440_30.jpg; 7812_8.jpg
7675,[중고] FX2N-16EYR-ES/UL,[Used] FX2N-16EYR-ES/UL,FX2N-16EYR-ES/UL,85000,77.65,,PLC,,7675_1.jpg; 7675_1.jpg; 7675_3.jpg; 7675_1.jpg; 7675_1.jpg; 7675_6.jpg; 7675_7.jpg; 7675_8.jpg; 7675_9.jpg; 7675_10.jpg; 7675_11.jpg; 7675_12.jpg; 7675_13.jpg; 7675_14.jpg; 7675_15.jpg; 7675_16.jpg; 7675_17.jpg; 7675_18.jpg; 7675_19.jpg; 7675_20.jpg; 7675_1.jpg; 7675_3.jpg; 7675_23.jpg; 3944_17.jpg; 6012_23.jpg; 7474_24.jpg; 7634_22.jpg; 7634_23.jpg; 7483_24.jpg; 8029_28.jpg; 7440_29.jpg; 7440_30.jpg
5078,[중고] RORZE RV201-F05-009-1 LOAD PORT  FOUP OPENER 300mm wafer 12inch,[Used] RORZE RV201-F05-009-1 LOAD PORT FOUP OPENER 300mm wafer 12inch,RV201-F05-009-1,2200000,2009.7,RORZE,LOAD PORT,,5078_1.jpg; 5078_1.jpg; 5078_3.jpg; 5078_1.jpg; 5078_5.jpg; 7714_9.jpg; 7714_10.jpg; 7714_12.jpg; 7803_15.jpg; 7714_11.jpg; 5078_1.jpg; 5078_3.jpg; 7714_13.jpg; 7675_23.jpg; 3944_17.jpg; 6012_23.jpg; 7474_24.jpg; 7634_22.jpg; 7634_23.jpg; 7483_24.jpg; 8029_28.jpg; 7440_29.jpg
7617,"[미사용] SEJINiGB, 서보모터용 감속기, QH040SA-160-S-EP-A130PP","[Unused] SEJINiGB, reducer for servomotor, QH040SA-160-S-EP-A130PP",QH040SA-160-S-EP-A130PP,660000,602.91,,Reducer/Index/Coupling,,7617_1.jpg; 7617_1.jpg; 7617_3.jpg; 7617_1.jpg; 6990_5.jpg; 7617_1.jpg; 7617_7.jpg; 7617_8.jpg; 7617_9.jpg; 7617_10.jpg; 7617_11.jpg; 7617_12.jpg; 7617_13.jpg; 7617_14.jpg; 7617_15.jpg; 7617_16.jpg; 7617_17.jpg; 7617_18.jpg; 7617_19.jpg; 7617_20.jpg; 7617_21.jpg; 7617_22.jpg; 7617_1.jpg; 7617_3.jpg; 7142_19.jpg; 7142_20.jpg; 7675_23.jpg; 3944_17.jpg; 6012_23.jpg; 7474_24.jpg; 7634_22.jpg; 7634_23.jpg; 7483_24.jpg; 8029_28.jpg
7968,[중고] SGMPS-08ACA2C 야스카와 서보 서보모터 AC서보모터 YASKAWA 시그마 자동화부품 조각기 3D프린터 부품 산업용 자동화설비,[Used] SGMPS-08ACA2C YASKAWA Servo Servo Motor AC Servo Motor YASKAWA Sigma Automation Parts Engraver 3D Printer Parts Industrial Automation Equipment,SGMPS-08ACA2C,275000,251.21,YASKAWA,Servo motor/servo driver,,7968_1.jpg; 7968_1.jpg; 7968_3.jpg; 7968_1.jpg; 7968_1.jpg; 7968_6.jpg; 7968_7.jpg; 7968_8.jpg; 7968_9.jpg; 7968_10.jpg; 7968_11.jpg; 7968_12.jpg; 7968_13.jpg; 7968_14.jpg; 7968_15.jpg; 7968_16.jpg; 7968_17.jpg; 7968_18.jpg; 7968_19.jpg; 7968_20.jpg; 7968_21.jpg; 7968_22.jpg; 7968_1.jpg; 7968_3.jpg; 7142_18.jpg; 7142_19.jpg; 7142_20.jpg; 7675_23.jpg; 3944_17.jpg; 6012_23.jpg; 7474_24.jpg; 7634_22.jpg; 7634_23.jpg; 7483_24.jpg
7953,[중고] PARKER VERIFLO SQ42E01002PFS8MM,[Used] PARKER VERIFLO SQ42E01002PFS8MM,SQ42E01002PFS8MM,110000,100.48,PARKER,Gas valve/regulator/pressure gauge,,7953_1.jpg; 7953_1.jpg; 7953_3.jpg; 7953_1.jpg; 7953_1.jpg; 7953_6.jpg; 7679_8.jpg; 7679_23.jpg; 7953_9.jpg; 7953_10.jpg; 7679_18.jpg; 7953_12.jpg; 7679_14.jpg; 7953_14.jpg; 7679_17.jpg; 7679_10.jpg; 7679_19.jpg; 7679_20.jpg; 7953_19.jpg; 7679_7.jpg; 7953_1.jpg; 7953_3.jpg; 7679_11.jpg; 7142_19.jpg; 7142_20.jpg; 7675_23.jpg; 3944_17.jpg; 6012_23.jpg; 7474_24.jpg; 7634_22.jpg; 7634_23.jpg; 7483_24.jpg
7142,[중고] HRW17 (길이120mm/블럭2개) LM가이드 엘엠가이드 LM GUIDE THK IKO NSK 자동화부품 정밀부품 조각기 3D프린터 제작부품 삼익THK 베어링,[Used] HRW17 (Length 120mm/2 blocks) LM Guide LM Guide LM GUIDE THK IKO NSK Automation Parts Precision Parts Engraver 3D Printer Manufacturing Parts Samik THK Bearing,HRW17,33000,30.15,THK,LM GUIDE / BUSHING,,7142_1.jpg; 7142_1.jpg; 7142_3.jpg; 7142_1.jpg; 7142_1.jpg; 7142_6.jpg; 7142_7.jpg; 7142_8.jpg; 7142_9.jpg; 7142_10.jpg; 7142_11.jpg; 7142_12.jpg; 7142_13.jpg; 7142_14.jpg; 7142_1.jpg; 7142_3.jpg; 7142_17.jpg; 7142_18.jpg; 7142_19.jpg; 7142_20.jpg; 7675_23.jpg; 3944_17.jpg; 6012_23.jpg; 7474_24.jpg; 7634_22.jpg; 7634_23.jpg
7627,"[중고] SESAME PGL42-20-P1 (20:1), 서보모터용 감속기, 50,100W","[Used] SESAME PGL42-20-P1 (20:1), reducer for servo motor, 50,100W",PGL42-20-P1,88000,80.39,,Reducer/Index/Coupling,,7627_1.jpg; 7627_1.jpg; 7627_3.jpg; 7627_1.jpg; 6990_5.jpg; 7627_1.jpg; 7627_7.jpg; 7617_20.jpg; 7617_15.jpg; 7627_10.jpg; 7617_17.jpg; 7617_21.jpg; 7627_13.jpg; 7627_14.jpg; 7627_15.jpg; 7617_9.jpg; 7627_17.jpg; 7627_18.jpg; 7627_19.jpg; 7617_19.jpg; 7627_21.jpg; 7627_1.jpg; 7627_3.jpg; 5897_17.jpg; 7142_17.jpg; 7142_18.jpg; 7142_19.jpg; 7142_20.jpg; 7675_23.jpg; 3944_17.jpg; 6012_23.jpg; 7474_24.jpg; 7634_22.jpg
5729,[증고] MA-HHK Tazmo Aligner,[Review] MA-HHK Tazmo Aligner,,1760000,1607.76,,semiconductor equipment,,5729_1.jpg; 5729_1.jpg; 5729_3.jpg; 5729_1.jpg; 5729_1.jpg; 5729_6.jpg; 5729_7.jpg; 5729_8.jpg; 5729_9.jpg; 5729_10.jpg; 5729_11.jpg; 5729_12.jpg; 5729_13.jpg; 5729_14.jpg; 5729_15.jpg; 5729_16.jpg; 5729_17.jpg; 5729_18.jpg; 5729_19.jpg; 7440_23.jpg; 5729_21.jpg; 5729_1.jpg; 5729_3.jpg; 7440_20.jpg; 7142_17.jpg; 7142_18.jpg; 7142_19.jpg; 7142_20.jpg; 7675_23.jpg; 3944_17.jpg; 6012_23.jpg; 7474_24.jpg; 7634_22.jpg
7907,[중고] THV-1PZ030-8*HN-9 RKC,[Used] THV-1PZ030-8*HN-9 RKC,THV-1PZ030-8*HN-9,165000,150.73,,Electrical parts and other,,7907_1.jpg; 7907_1.jpg; 7907_3.jpg; 7907_1.jpg; 7907_1.jpg; 7907_6.jpg; 7907_7.jpg; 7907_8.jpg; 7907_9.jpg; 7907_10.jpg; 7907_11.jpg; 7907_12.jpg; 7907_13.jpg; 7907_1.jpg; 7907_3.jpg; 7907_16.jpg; 5897_17.jpg; 7142_17.jpg; 7142_18.jpg; 7142_19.jpg; 7142_20.jpg; 7675_23.jpg; 3944_17.jpg; 6012_23.jpg; 7474_24.jpg
5897,[중고] HRW17 (블럭1개) LM가이드 엘엠가이드 LM GUIDE THK IKO NSK 자동화부품 정밀부품 조각기 3D프린터 제작부품 삼익THK 베어링,[Used] HRW17 (1 block) LM Guide LM Guide LM GUIDE THK IKO NSK Automation Parts Precision Parts Engraver 3D Printer Manufacturing Parts Samik THK Bearing,HRW17,16500,15.07,THK,LM GUIDE / BUSHING,,5897_1.jpg; 5897_1.jpg; 5897_3.jpg; 5897_1.jpg; 5897_1.jpg; 5897_6.jpg; 7142_14.jpg; 7142_17.jpg; 7142_8.jpg; 7142_9.jpg; 7142_13.jpg; 7142_11.jpg; 7142_12.jpg; 5897_1.jpg; 5897_3.jpg; 7142_10.jpg; 5897_17.jpg; 7142_17.jpg; 7142_18.jpg; 7142_19.jpg; 7142_20.jpg; 7675_23.jpg; 3944_17.jpg; 6012_23.jpg; 7474_24.jpg
